kreiskey1849,county,rb,ani1849_horses_un3,ani1849_horses_4to10,ani1849_horses_ov10,ani1849_mule,ani1849_donkey,ani1849_bulls,ani1849_oxen,ani1849_cattle,ani1849_youngcattle,ani1849_merino,ani1849_halfmerino,ani1849_nomerino,ani1849_goats,ani1849_pigs
275,"Wittgenstein","ARN",10,126,199,1,6,96,1251,5423,3048,0,534,7121,1054,2253
276,"Wipperfurt","KOL",11,250,366,1,12,46,899,7976,2829,3,2,12,1775,1250
277,"Gummersbach","KOL",35,154,256,7,7,45,1062,7327,3420,0,0,1105,3020,2864
278,"Waldbroel","KOL",19,84,67,0,2,22,1303,4102,4008,0,30,1387,2326,2053
279,"Sieg","KOL",294,1179,760,17,43,163,3849,16656,11374,0,1060,2511,5202,6824
280,"Mühlheim","KOL",77,602,552,1,17,84,1288,8356,3153,0,3520,880,1776,4027
281,"Stadt Cöln","KOL",2,453,580,0,0,0,160,628,22,0,0,2,49,227
282,"Landkreis Cöln","KOL",317,2165,1150,4,27,174,288,10556,3307,1000,9607,310,2392,7617
283,"Bergheim","KOL",471,1674,1239,0,7,125,187,9165,4599,1604,5799,657,2651,6382
284,"Euskirchen","KOL",363,1369,1057,3,13,193,524,8138,5850,868,17932,1055,1743,5978
285,"Rheinbach","KOL",223,1083,765,0,15,132,1104,7912,4987,647,5372,4319,1728,5144
286,"Bonn","KOL",92,702,779,6,31,88,767,8593,2619,1046,1541,786,2204,3249
287,"Cleve","DUS",728,1695,1472,0,45,134,892,10954,7951,0,100,3134,2732,8992
288,"Rees","DUS",392,1363,1045,0,33,106,1148,9699,8569,25,70,6678,1942,6189
289,"Duisburg","DUS",445,2361,1531,0,39,161,445,14122,4659,2,2848,7385,5387,11910
290,"Geldern","DUS",1152,3515,3204,0,20,235,1290,19055,10510,457,2557,9324,4558,13302
291,"Kempen","DUS",299,1445,1093,0,30,46,261,9904,1618,50,656,1340,4182,7064
292,"Crefeld","DUS",161,956,921,0,11,51,49,5967,1378,679,1663,981,1416,4123
293,"Düsseldorf","DUS",83,1162,962,0,42,76,161,9645,1860,1429,4969,2985,2690,5646
294,"Elberfeld","DUS",10,1181,853,3,42,38,37,8567,476,0,1700,5381,4339,2998
295,"Lennep","DUS",19,596,602,0,13,19,86,9474,1425,0,0,43,2317,857
296,"Solingen","DUS",51,846,802,4,13,50,470,10671,1003,0,4115,1733,4275,3008
297,"Neuss","DUS",243,1111,1185,0,7,75,107,6679,2285,1359,4832,1217,1951,5822
298,"Grevenbroich","DUS",309,1271,935,0,7,73,110,5988,2113,121,2552,839,3258,5069
299,"Gladbach","DUS",262,1058,748,0,5,22,191,6301,1031,496,212,168,3546,2983
300,"Simmern","KOB",176,736,851,0,3,126,4109,8523,7721,0,252,10972,2717,7478
301,"Coblenz","KOB",94,457,879,0,29,48,1281,7413,1282,311,3148,1279,1318,1465
302,"St. Goar","KOB",37,257,501,0,124,89,2971,6285,2884,0,23,5012,2359,2211
303,"Kreuznach","KOB",177,919,982,0,25,131,3003,10689,4673,0,6,989,3070,5823
304,"Zell","KOB",87,282,568,0,8,68,1630,5822,3103,0,14,4336,1653,3636
305,"Kochheim","KOB",170,505,681,2,8,82,2187,6874,3062,50,2495,12701,1270,3238
306,"Mayen","KOB",431,1361,1424,0,7,124,2337,10325,4543,1881,13105,10394,1430,4668
307,"Adenau","KOB",54,264,447,0,18,89,2511,4897,3534,60,110,32791,1312,2859
308,"Ahrweiler","KOB",58,382,426,1,10,60,1918,6723,3033,100,4803,3603,2208,1805
309,"Neuwied","KOB",47,408,624,0,8,120,3891,12211,6347,0,1588,7431,4405,3712
310,"Altenkirchen","KOB",42,218,311,0,3,150,3488,10299,8088,0,96,2215,2604,6521
311,"Wetzlar","KOB",22,243,499,5,162,135,4848,9405,8008,6,94,27766,1787,10619
312,"Daun","TRI",174,658,308,0,5,91,3698,6279,4136,0,6409,20032,1366,3699
313,"Prüm","TRI",419,606,498,0,1,118,4002,8857,7212,0,0,34952,1584,5155
314,"Bitburg","TRI",577,1075,1052,0,46,137,3612,8992,6564,3,917,23847,2179,8754
315,"Wittlich","TRI",61,326,498,0,11,78,3264,6947,2887,0,2016,14883,925,4579
316,"Trier (Stadt)","TRI",15,138,201,0,0,14,303,1663,254,0,1020,0,370,774
317,"Trier (Land)","TRI",419,1219,1202,0,6,110,3904,12868,5601,0,242,17799,2510,7941
318,"Berncastel","TRI",106,702,444,0,17,116,2879,9805,5830,0,0,10989,2070,7152
319,"Saarburg","TRI",492,1881,1408,0,3,72,291,6042,2467,0,390,2453,839,7199
320,"Merzig","TRI",467,1215,1081,0,12,76,867,6657,2900,0,446,6348,1258,6939
321,"Saarlouis","TRI",580,2129,1572,1,66,128,615,9060,3729,0,20,5648,1326,7903
322,"Saarbrücken","TRI",390,1213,1055,0,5,98,1227,6883,2392,61,303,3060,2243,5233
323,"Ottweiler","TRI",166,608,508,0,5,54,1044,5981,3521,0,1396,3942,1421,4091
324,"St. Wendel","TRI",206,916,768,0,2,131,2264,9362,8001,0,2179,7819,1365,7777
325,"Erkelens","AAC",252,1088,788,0,1,41,182,6322,2269,390,1231,565,3173,4884
326,"Heinsberg","AAC",263,1048,480,0,0,47,207,7343,3826,63,259,1578,1376,4885
327,"Geilenkirchen","AAC",305,996,621,0,0,60,90,5368,2862,218,1759,1240,1214,3625
328,"Jülich","AAC",547,1580,1205,0,1,81,122,7998,3697,348,2657,1904,2309,5225
329,"Düren","AAC",569,1791,1391,0,35,171,624,11349,6534,2924,11402,5067,2178,7565
330,"Stadt Aachen","AAC",33,275,385,0,2,13,0,991,154,0,361,165,47,403
331,"Landkreis Aachen","AAC",482,1513,1424,0,8,118,24,9072,3352,722,5554,3176,4729,1696
332,"Eupen","AAC",47,318,276,0,1,52,81,6477,2036,153,108,0,226,1144
333,"Montjoie","AAC",152,433,303,0,7,44,317,7300,3370,0,0,4258,609,2624
334,"Schleiden","AAC",219,941,947,2,64,105,1637,8477,6136,156,8629,16958,1717,3677
335,"Malmedy","AAC",111,448,354,0,0,93,2899,10319,7475,0,246,14487,290,3984
