kreiskey1882,county,rb,occ1882_se_min_pr,occ1882_emp_min_pr,occ1882_se_sto_pr,occ1882_emp_sto_pr,occ1882_se_met_pr,occ1882_emp_met_pr,occ1882_se_eng_pr,occ1882_emp_eng_pr,occ1882_se_che_pr,occ1882_emp_che_pr,occ1882_se_lum_pr,occ1882_emp_lum_pr,occ1882_se_tex_pr,occ1882_emp_tex_pr,occ1882_se_pap_pr,occ1882_emp_pap_pr,occ1882_se_woo_pr,occ1882_emp_woo_pr,occ1882_se_foo_pr,occ1882_emp_foo_pr,occ1882_se_clo_pr,occ1882_emp_clo_pr,occ1882_se_bui_pr,occ1882_emp_bui_pr,occ1882_se_pri_pr,occ1882_emp_pri_pr,occ1882_se_art_pr,occ1882_emp_art_pr,occ1882_se_min_cat,occ1882_emp_min_cat,occ1882_se_sto_cat,occ1882_emp_sto_cat,occ1882_se_met_cat,occ1882_emp_met_cat,occ1882_se_eng_cat,occ1882_emp_eng_cat,occ1882_se_che_cat,occ1882_emp_che_cat,occ1882_se_lum_cat,occ1882_emp_lum_cat,occ1882_se_tex_cat,occ1882_emp_tex_cat,occ1882_se_pap_cat,occ1882_emp_pap_cat,occ1882_se_woo_cat,occ1882_emp_woo_cat,occ1882_se_foo_cat,occ1882_emp_foo_cat,occ1882_se_clo_cat,occ1882_emp_clo_cat,occ1882_se_bui_cat,occ1882_emp_bui_cat,occ1882_se_pri_cat,occ1882_emp_pri_cat,occ1882_se_art_cat,occ1882_emp_art_cat,occ1882_se_min_jew,occ1882_emp_min_jew,occ1882_se_sto_jew,occ1882_emp_sto_jew,occ1882_se_met_jew,occ1882_emp_met_jew,occ1882_se_eng_jew,occ1882_emp_eng_jew,occ1882_se_che_jew,occ1882_emp_che_jew,occ1882_se_lum_jew,occ1882_emp_lum_jew,occ1882_se_tex_jew,occ1882_emp_tex_jew,occ1882_se_pap_jew,occ1882_emp_pap_jew,occ1882_se_woo_jew,occ1882_emp_woo_jew,occ1882_se_foo_jew,occ1882_emp_foo_jew,occ1882_se_clo_jew,occ1882_emp_clo_jew,occ1882_se_bui_jew,occ1882_emp_bui_jew,occ1882_se_pri_jew,occ1882_emp_pri_jew,occ1882_se_art_jew,occ1882_emp_art_jew,occ1882_se_min_tot,occ1882_emp_min_tot,occ1882_se_sto_tot,occ1882_emp_sto_tot,occ1882_se_met_tot,occ1882_emp_met_tot,occ1882_se_eng_tot,occ1882_emp_eng_tot,occ1882_se_che_tot,occ1882_emp_che_tot,occ1882_se_lum_tot,occ1882_emp_lum_tot,occ1882_se_tex_tot,occ1882_emp_tex_tot,occ1882_se_pap_tot,occ1882_emp_pap_tot,occ1882_se_woo_tot,occ1882_emp_woo_tot,occ1882_se_foo_tot,occ1882_emp_foo_tot,occ1882_se_clo_tot,occ1882_emp_clo_tot,occ1882_se_bui_tot,occ1882_emp_bui_tot,occ1882_se_pri_tot,occ1882_emp_pri_tot,occ1882_se_art_tot,occ1882_emp_art_tot
46,"STUHM","MAR",0,1,12,41,55,60,23,17,2,2,0,0,25,10,25,22,53,60,78,113,242,86,39,255,1,2,0,0,1,3,2,40,37,32,19,15,0,1,0,0,15,6,20,11,48,40,38,54,231,92,38,345,0,0,0,0,0,0,0,0,2,4,1,0,0,1,0,0,0,0,1,0,0,0,2,2,3,3,0,0,0,0,0,0,1,4,14,81,96,98,43,32,2,4,0,0,40,16,46,33,102,103,121,174,481,182,78,602,1,4,0,0
47,"MARIENWERDER","MAR",0,13,22,130,98,111,61,46,3,10,2,4,26,8,51,40,168,133,141,260,582,210,81,523,8,30,0,0,1,10,2,38,50,74,22,52,0,0,0,2,8,3,9,8,59,70,35,117,255,112,30,388,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,9,6,11,2,1,0,0,2,0,0,1,23,24,168,149,185,83,98,3,10,2,6,36,11,60,49,227,204,186,387,854,325,112,916,8,38,0,0
48,"ROSENBERG","MAR",0,12,29,137,104,100,43,51,5,4,3,1,55,44,48,47,127,107,177,263,627,330,78,573,3,3,0,0,0,1,8,20,5,13,1,6,0,0,0,0,4,7,3,7,5,11,4,25,32,78,9,61,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,1,1,2,0,7,4,16,9,2,0,0,0,0,0,0,13,38,158,109,113,46,58,5,5,3,1,60,52,52,55,134,118,188,293,676,417,89,634,4,3,0,0
49,"LOBAU","MAR",0,1,8,26,32,22,15,15,1,0,0,0,7,4,15,15,33,22,64,104,134,66,37,154,1,8,0,0,0,15,22,46,86,59,39,19,0,4,0,0,12,7,6,22,80,51,58,116,388,184,33,196,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,3,0,1,8,0,18,11,4,1,0,0,0,0,0,16,30,72,119,81,54,34,2,4,0,0,20,11,23,40,113,74,130,220,540,261,74,351,2,10,0,0
50,"STRASBURG","MAR",1,8,13,50,56,53,19,33,3,1,1,0,12,6,22,22,70,52,82,171,214,113,42,266,4,2,0,0,1,7,21,87,74,66,42,28,5,7,0,0,10,1,10,19,74,76,57,181,441,246,24,241,3,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,2,2,0,34,13,61,32,13,2,2,0,0,0,2,15,35,137,134,119,63,62,8,8,1,0,24,7,36,43,146,128,174,365,718,392,79,511,9,3,1,0
51,"THORN","MAR",1,6,25,377,86,302,56,103,9,11,4,16,21,9,26,55,93,216,140,363,530,247,119,1156,4,30,1,0,3,14,12,252,42,183,18,60,3,6,0,4,1,8,21,27,49,119,78,270,512,300,45,1209,2,24,2,5,0,0,3,0,0,5,1,1,0,2,0,0,4,1,0,0,2,0,24,23,42,23,14,5,3,3,0,1,4,20,40,629,128,490,75,164,12,19,4,20,26,18,47,82,144,335,243,657,1084,572,178,2372,9,57,3,6
52,"KULM","MAR",6,5,18,53,79,86,27,33,3,3,1,2,15,5,31,31,66,62,90,158,222,141,54,243,3,9,0,0,1,1,8,64,43,68,40,44,3,6,0,1,7,5,9,14,47,67,55,113,349,221,37,294,1,1,0,0,0,0,0,0,2,4,2,3,0,1,0,0,1,0,1,1,0,0,14,9,28,9,4,2,0,0,0,0,7,6,26,117,125,158,69,80,6,10,1,3,23,10,41,46,114,130,159,283,608,374,96,541,4,10,0,0
53,"GRAUDENZ","MAR",2,25,22,208,96,192,50,65,5,9,3,7,20,19,33,36,78,203,141,268,509,407,83,551,3,19,2,2,1,12,4,106,37,68,18,25,0,7,0,0,3,3,10,7,24,60,38,87,275,199,24,233,1,9,0,0,0,0,1,0,4,0,1,0,0,2,0,0,3,0,0,0,1,2,21,20,9,6,6,4,0,0,0,0,3,37,27,315,137,260,69,90,5,18,3,7,26,22,45,43,105,265,200,377,800,619,116,791,4,28,2,2
54,"SCHWETZ","MAR",2,14,28,107,106,83,23,38,5,4,1,0,26,3,26,21,146,130,109,221,348,223,37,344,3,3,0,1,0,10,24,83,47,57,41,26,3,3,1,1,1,5,12,8,78,62,60,156,337,191,21,350,0,4,0,0,0,0,1,0,6,2,0,0,0,0,0,0,3,0,0,0,2,1,14,4,40,25,8,3,0,0,0,0,2,24,53,190,159,143,64,65,8,7,2,1,30,8,38,29,227,195,184,381,726,439,66,698,3,7,0,1
55,"TUCHEL","MAR",1,11,8,39,23,22,15,5,1,0,1,0,9,4,4,3,23,14,36,56,56,13,34,76,1,2,0,0,0,4,5,16,34,18,20,8,0,1,0,0,6,1,6,6,36,16,17,35,118,51,22,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23,8,16,7,4,2,0,0,0,0,1,15,13,55,57,40,35,13,1,1,1,0,15,5,11,10,59,30,76,99,192,71,60,185,1,2,0,0
56,"KONITZ","MAR",0,9,11,79,42,52,20,26,5,1,0,1,12,10,13,11,46,41,50,79,149,65,32,171,3,3,0,0,0,2,1,48,62,39,23,17,0,2,0,0,13,9,10,11,62,57,36,59,296,142,20,228,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,17,8,17,6,7,6,0,1,1,2,0,11,13,127,105,91,43,43,5,4,0,1,26,20,23,22,108,98,103,146,462,213,59,405,3,6,1,2
57,"SCHLOCHAU","MAR",0,38,33,149,104,70,63,33,7,6,4,1,48,15,28,24,155,125,123,161,516,239,46,296,2,2,1,1,0,3,7,30,34,27,29,14,0,0,0,0,6,2,3,1,50,40,25,44,212,100,16,155,0,0,0,0,0,0,1,1,3,2,1,0,0,0,0,0,4,3,3,3,0,1,31,27,40,13,19,2,0,0,0,0,0,41,41,180,141,100,93,47,7,6,4,1,58,20,37,28,205,166,179,232,769,352,81,453,2,2,1,1
58,"FLATOW","MAR",0,29,14,111,101,65,39,22,6,2,0,0,33,15,25,15,136,53,94,132,349,168,55,319,1,3,0,0,0,3,16,23,56,30,32,13,1,1,0,0,13,6,10,18,85,43,25,45,191,84,26,152,0,1,0,0,0,0,0,0,1,1,4,2,0,0,0,0,5,0,4,0,1,0,41,43,49,22,15,2,0,0,0,0,0,32,30,134,158,96,75,37,7,3,0,0,51,21,39,33,222,96,160,220,589,274,96,473,1,4,0,0
59,"DEUTSCH KRONE","MAR",4,28,29,166,149,139,66,54,7,6,2,5,58,42,31,41,185,134,199,304,616,517,86,438,2,7,0,0,0,3,7,47,52,43,41,30,0,1,0,0,8,6,10,5,81,42,30,68,300,170,30,206,2,3,0,0,1,1,0,0,2,1,0,1,0,0,0,0,6,0,7,2,1,0,26,28,53,19,10,2,0,0,0,0,5,32,36,213,203,183,107,85,7,7,2,5,72,48,48,48,267,176,255,400,969,706,127,646,4,10,0,0
60,"PRENZLAU","POT",0,27,49,257,182,353,89,117,9,19,2,7,96,38,91,166,196,213,215,528,1089,668,108,971,9,35,1,1,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,2,0,2,4,5,3,2,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,1,2,5,1,0,1,0,1,0,0,0,29,50,259,183,354,91,118,9,19,2,7,98,39,92,170,197,214,218,534,1102,672,110,981,10,36,1,1
61,"TEMPLIN","POT",0,9,28,195,140,170,83,127,5,5,4,1,104,44,27,37,199,145,208,297,550,194,87,916,4,8,2,2,0,0,1,2,0,4,0,0,1,0,0,0,2,4,1,0,0,4,2,5,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,9,29,201,141,175,83,127,7,5,4,1,109,50,28,37,204,152,213,303,564,204,87,924,4,8,3,2
62,"ANGERMUNDE","POT",0,5,55,988,190,324,121,161,11,12,3,11,105,34,74,70,305,574,309,886,964,521,218,1312,7,25,2,8,0,0,0,42,3,10,3,0,0,0,0,0,2,3,2,1,0,5,6,19,17,14,2,5,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,7,0,10,2,0,0,0,0,0,0,0,5,55,1031,194,336,124,161,11,12,3,11,109,37,76,71,305,581,322,910,993,537,221,1317,8,26,2,8
63,"OBERBARNIM","POT",9,192,64,1174,286,906,137,224,21,24,8,15,348,403,86,481,320,456,394,787,1395,938,236,1785,16,65,3,5,0,3,3,102,11,36,4,10,0,0,0,3,6,9,1,3,10,17,2,23,37,18,8,21,1,2,0,0,0,0,1,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,2,1,0,9,195,68,1281,298,949,141,235,22,24,8,18,354,412,87,484,330,473,396,810,1440,960,244,1806,18,69,4,5
64,"NIEDERBARNIM","POT",1,10,78,1958,342,769,206,586,29,152,6,40,849,1606,95,241,467,794,698,1320,1761,1189,301,3952,21,121,32,43,0,1,3,89,10,64,4,29,3,18,0,6,50,147,10,25,20,50,26,101,52,63,17,205,0,7,1,1,0,0,1,0,1,2,0,0,0,2,0,0,2,1,3,3,0,0,6,5,13,4,2,2,0,1,1,0,1,11,82,2049,355,836,210,616,32,172,6,46,907,1758,108,269,488,848,732,1428,1828,1258,321,4160,21,129,34,44
65,"CHARLOTTENBURG","POT",2,20,20,395,62,596,31,194,15,81,7,50,43,95,35,111,71,193,85,302,688,356,121,1152,12,84,29,25,0,5,4,76,4,58,3,33,0,19,0,7,2,18,3,6,3,24,6,43,45,31,11,160,1,3,2,4,0,0,2,0,2,0,1,2,3,0,1,2,2,1,1,4,1,1,2,0,3,2,0,1,0,0,0,0,2,25,27,471,70,655,37,229,18,100,8,59,47,115,39,121,76,226,93,348,737,389,132,1314,13,87,31,29
66,"TELTOW","POT",1,71,94,1753,331,1286,205,541,36,293,13,247,1136,2406,161,702,494,1171,634,1468,2205,1413,402,4368,40,342,63,96,0,6,2,237,23,103,9,24,4,24,4,14,36,153,6,43,27,72,35,139,85,60,24,241,3,26,4,8,1,0,2,0,1,0,0,1,1,3,0,0,1,6,0,3,1,1,1,2,8,5,5,0,0,0,1,0,2,77,98,1990,357,1392,216,568,41,320,18,262,1175,2569,168,748,523,1246,671,1610,2301,1478,431,4611,43,371,68,105
67,"BEESKOW-STORKOW","POT",2,228,24,447,107,113,95,120,5,11,1,3,67,31,29,40,121,109,173,235,551,256,70,614,1,11,1,1,1,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,2,2,11,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,228,24,449,108,115,95,121,5,11,1,3,68,31,29,40,122,111,175,246,557,256,71,617,1,12,1,1
68,"JUTERBOG-LUCKENWALDE","POT",0,7,44,374,190,362,107,105,10,20,16,17,698,3097,61,120,244,327,385,629,1280,1020,89,1271,15,29,3,10,0,0,0,26,3,13,2,1,0,3,0,0,10,54,2,9,4,12,4,25,26,23,3,9,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44,401,193,375,110,108,10,23,16,17,717,3166,63,129,248,339,389,654,1309,1043,94,1281,15,33,3,12
69,"ZAUCH-BELZIG","POT",5,160,94,2431,210,230,151,146,13,10,29,10,391,232,80,108,311,236,385,535,880,333,143,1528,4,10,2,0,0,9,0,170,4,9,3,3,0,0,0,0,2,5,1,2,3,10,3,14,11,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,5,169,94,2601,214,240,154,149,13,10,29,10,394,237,81,110,315,246,389,553,892,347,143,1540,4,10,2,0
70,"POTSDAM","POT",0,0,36,129,156,503,69,216,9,27,7,29,94,91,97,273,179,449,197,791,1508,822,137,912,20,83,24,22,0,0,4,12,6,52,5,10,0,1,0,5,2,5,6,30,15,37,11,80,107,87,5,63,2,8,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,3,0,1,3,1,5,3,0,0,3,1,0,0,0,0,40,141,164,558,77,232,9,29,7,34,96,97,105,307,196,488,212,877,1625,916,142,975,25,92,25,23
71,"OSTHAVELLAND","POT",20,561,185,2404,214,722,154,1494,12,878,2,31,130,43,71,87,255,496,367,736,1318,569,193,2253,11,56,6,5,0,7,4,539,11,53,3,175,0,74,0,4,3,2,1,7,8,32,9,45,63,31,7,94,0,3,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,2,1,0,0,1,2,8,8,0,0,0,0,0,0,20,568,189,2948,226,775,158,1670,12,956,2,35,133,46,74,95,263,528,377,783,1389,608,201,2348,11,59,7,6
72,"BRANDENBURG","POT",5,4,42,204,77,281,49,113,5,18,12,82,230,1086,69,217,142,707,125,563,831,665,74,562,11,43,5,11,0,0,1,20,2,14,0,5,0,1,0,5,7,34,3,14,6,40,7,29,40,40,2,49,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,1,1,1,0,0,0,1,5,0,0,0,0,0,0,0,5,4,43,224,80,296,50,118,8,19,12,87,241,1130,73,232,149,747,132,595,878,706,76,611,12,47,5,11
73,"WESTHAVELLAND","POT",6,49,76,1880,147,307,203,1001,10,9,3,11,134,66,64,72,224,378,258,358,827,364,112,1111,4,21,3,10,0,5,0,372,0,10,1,18,0,1,0,0,3,3,1,4,2,17,6,11,8,8,0,21,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,6,54,76,2255,147,317,205,1021,10,10,3,11,140,71,65,76,226,395,264,369,842,372,112,1134,5,22,3,10
74,"RUPPIN","POT",8,321,60,378,237,361,154,140,15,15,5,16,309,242,76,213,362,446,391,625,1250,609,184,1534,19,135,4,1,0,2,3,7,3,10,2,1,1,2,0,0,3,9,2,0,1,6,7,12,16,6,1,6,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,2,0,6,4,0,0,0,0,0,0,8,323,63,385,240,371,157,141,16,17,5,16,313,255,78,213,363,452,400,637,1272,619,185,1540,20,142,4,1
75,"OSTPRIGNITZ","POT",0,28,75,357,243,299,158,123,5,8,4,5,121,404,72,59,278,270,299,447,1110,583,127,1150,8,22,2,0,0,3,1,4,1,2,2,2,2,0,0,1,0,3,1,2,4,5,5,12,5,9,4,15,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,31,76,361,244,301,160,125,7,9,4,6,121,407,73,61,282,275,304,459,1116,596,131,1165,8,25,2,0
76,"WESTPRIGNITZ","POT",2,127,80,428,223,425,118,396,11,12,9,103,85,140,78,99,313,401,365,511,1239,669,192,1586,12,23,0,11,0,1,2,4,2,14,2,18,0,0,0,2,2,10,3,2,12,12,2,18,19,13,3,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,2,128,82,433,225,439,121,414,11,12,10,106,89,152,81,101,325,414,367,531,1265,685,195,1599,12,24,0,11
77,"KONIGSBERG","FRA",1,55,106,671,284,470,184,316,17,19,12,9,318,645,104,132,420,554,444,816,1450,655,267,1922,17,59,2,0,0,0,1,5,2,11,5,9,1,2,0,0,10,4,0,2,2,8,4,29,16,24,6,36,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,0,3,4,10,5,1,0,2,2,0,0,1,55,108,676,286,484,189,326,19,22,12,9,330,649,106,135,424,562,451,851,1483,684,276,1960,20,63,2,0
78,"SOLDIN","FRA",0,17,32,197,129,203,73,120,5,3,2,1,111,32,45,70,185,184,200,377,711,322,105,927,4,13,0,1,0,2,0,2,1,3,3,3,0,1,0,0,2,6,1,0,5,4,4,8,20,15,4,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,2,0,0,1,1,0,0,0,19,32,199,130,206,76,123,5,4,2,1,114,38,48,72,192,190,204,385,739,340,111,980,5,15,0,1
79,"ARNSWALDE","FRA",0,24,20,237,126,186,79,104,9,22,0,1,52,56,37,56,149,134,163,251,574,262,78,711,2,6,0,0,0,3,0,2,2,5,0,1,0,1,0,0,0,2,2,1,1,3,3,6,6,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,12,2,0,0,0,0,0,0,0,27,20,239,128,192,79,105,9,23,0,1,54,59,39,58,153,138,175,257,593,271,83,722,2,6,0,0
80,"FRIEDEBERG","FRA",1,11,34,286,138,217,66,71,12,22,3,3,71,43,44,66,226,259,197,440,792,428,103,1009,5,14,4,1,0,0,1,7,6,11,0,1,0,1,1,0,1,3,1,2,1,6,3,17,13,13,4,13,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,2,7,2,1,1,0,0,0,0,1,11,35,294,144,228,66,72,12,23,4,3,73,46,48,69,227,265,201,459,812,443,108,1023,6,15,4,2
81,"LANDSBERG","FRA",3,12,45,318,177,513,106,631,6,14,9,16,78,84,53,76,288,461,322,622,1017,506,111,979,7,64,5,13,0,3,0,7,1,34,1,42,0,0,1,3,1,6,1,4,5,26,4,13,25,36,7,18,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,7,3,3,3,2,1,0,1,0,0,3,15,45,325,178,547,109,673,6,15,10,19,80,90,54,80,295,489,333,638,1049,545,120,1000,7,68,5,14
82,"LEBUS","FRA",1,425,62,500,275,490,159,201,23,21,9,15,63,81,94,112,345,392,445,1054,1290,712,218,2198,8,29,5,13,1,8,1,10,3,16,3,3,0,0,0,0,2,4,1,3,10,5,12,33,13,17,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,8,1,2,0,0,0,0,0,0,2,433,63,510,278,506,162,204,23,22,9,15,66,85,95,115,356,397,462,1095,1305,731,221,2213,8,29,5,13
83,"FRANKFURT","FRA",3,61,41,380,113,694,72,447,12,20,12,22,73,47,85,196,214,455,220,639,1699,948,130,1053,16,75,10,12,0,4,1,14,13,66,7,45,1,4,0,1,4,3,0,14,18,45,9,35,132,120,9,51,0,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,2,4,0,3,1,20,6,1,0,2,1,1,0,3,65,43,395,126,763,80,495,13,24,12,23,79,51,85,212,237,502,233,681,1862,1082,142,1106,18,81,11,13
84,"WESTSTERNBERG","FRA",6,152,27,113,138,128,94,57,7,4,3,1,101,94,46,185,169,127,182,248,627,300,108,760,2,4,0,0,0,0,0,1,2,10,0,1,0,0,0,0,1,1,2,6,6,3,5,12,11,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,152,27,114,140,138,94,58,7,5,3,1,102,95,48,191,175,130,187,260,640,309,110,766,2,4,0,0
85,"OSTSTERNBERG","FRA",3,92,42,178,148,168,84,55,6,9,3,3,138,481,47,45,188,147,197,233,638,263,128,547,6,18,1,1,0,1,0,11,1,8,2,0,0,0,0,0,3,9,1,0,4,9,0,12,14,15,7,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,4,93,42,190,152,176,87,55,6,9,3,3,143,491,48,45,192,157,198,246,658,279,135,557,6,18,1,1
86,"ZULLICHAU-SCHWIEBUS","FRA",6,53,22,131,125,189,66,62,8,7,10,11,206,751,41,54,133,145,264,359,675,300,101,801,9,31,3,12,0,35,3,62,18,43,14,7,3,0,0,3,10,109,5,11,31,28,29,54,103,66,12,111,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,3,1,0,0,0,0,0,0,0,6,88,25,193,143,232,80,70,11,7,10,14,216,860,47,67,165,173,298,416,779,366,113,913,11,31,4,13
87,"KROSSEN","FRA",0,30,35,231,124,299,82,109,8,11,18,23,274,1991,41,79,200,257,273,382,747,476,106,911,6,26,5,9,0,4,0,7,7,37,2,11,0,0,0,4,13,59,0,1,9,13,10,21,25,21,4,17,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,5,0,2,0,0,0,0,0,0,0,34,35,238,131,336,84,120,8,11,18,27,289,2053,42,80,209,270,284,408,772,499,110,928,6,27,5,11
88,"GUBEN","FRA",2,186,30,382,162,341,91,196,7,17,6,13,160,1739,53,108,255,463,253,459,1005,1398,98,1282,10,52,8,20,0,13,27,66,16,31,4,13,0,2,0,1,8,60,2,12,22,29,22,28,74,85,11,105,2,2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,11,2,0,0,0,0,0,1,7,2,0,0,0,0,0,0,2,199,57,448,178,373,96,210,7,21,6,14,179,1805,55,120,280,494,275,488,1088,1490,109,1387,12,54,12,24
89,"LUBBEN","FRA",0,9,27,138,100,113,39,42,2,3,2,3,56,91,37,32,160,144,161,228,497,250,59,382,3,4,3,5,0,8,0,10,3,1,1,2,1,0,0,0,0,1,0,0,1,3,1,4,14,7,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,17,27,148,103,114,40,44,3,3,2,3,56,92,37,32,161,147,164,234,513,257,63,389,3,5,3,5
90,"LUCKAU","FRA",4,149,81,419,227,292,108,74,8,15,4,18,223,1329,151,383,283,201,409,816,894,409,92,876,6,20,1,1,0,4,1,1,1,10,2,1,0,0,1,1,3,9,0,7,3,4,5,7,8,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,153,82,420,229,303,110,75,8,15,5,19,227,1338,151,390,286,205,414,823,903,416,92,883,6,21,1,1
91,"KALAU","FRA",11,664,44,548,148,199,87,109,12,21,6,5,152,108,56,63,205,212,261,336,897,669,70,699,3,4,1,5,0,36,2,111,4,8,3,4,0,2,0,0,0,2,0,2,1,3,2,14,12,11,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,700,46,659,152,207,90,113,12,24,6,5,152,110,56,65,206,215,263,350,909,680,77,712,3,4,1,5
92,"KOTTBUS","FRA",1,7,32,178,148,521,80,203,10,18,13,22,342,2291,46,77,202,376,246,482,1050,706,115,887,10,47,3,11,0,0,0,1,7,27,2,12,0,1,0,0,2,65,2,3,5,21,7,23,44,24,7,24,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3,0,0,1,1,2,0,7,0,0,0,0,0,0,0,1,7,32,179,156,548,83,215,10,20,13,22,349,2359,48,80,210,398,255,505,1104,730,122,911,11,50,3,11
93,"SORAU","FRA",11,431,46,510,205,440,116,344,8,13,13,43,2591,7862,72,109,286,412,418,697,1397,688,120,1343,10,45,8,19,0,19,7,60,16,52,2,46,2,1,2,5,105,624,8,12,15,25,19,57,107,75,10,51,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,2,1,2,2,1,0,0,1,0,0,11,450,53,571,221,492,118,390,10,14,15,48,2704,8515,80,121,303,437,439,755,1506,765,132,1395,10,50,9,21
94,"SPREMBERG","FRA",2,156,22,228,52,132,26,32,1,2,6,11,249,2261,21,42,49,160,85,152,289,245,36,225,3,11,2,6,0,9,5,47,4,16,2,2,0,0,0,1,7,44,0,3,2,17,6,8,14,6,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,165,27,275,56,148,28,34,1,2,6,12,256,2305,21,45,51,177,91,160,303,251,37,230,3,11,3,7
95,"DEMMIN","STE",3,6,44,118,164,263,106,114,4,9,8,8,254,69,49,66,191,137,248,403,957,422,118,753,5,17,0,0,0,5,0,4,2,4,1,4,0,1,0,0,2,4,3,2,3,1,0,10,8,6,3,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,11,44,123,166,267,107,118,4,10,8,8,257,73,53,68,195,138,248,413,971,428,121,770,6,18,0,0
96,"ANKLAM","STE",7,40,16,68,103,211,57,74,5,6,4,14,100,43,40,40,131,121,156,238,619,269,66,362,4,17,0,0,0,1,2,0,2,9,0,0,0,0,0,0,0,1,1,1,3,2,2,2,4,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,7,41,18,68,105,220,57,74,5,6,4,14,100,46,44,41,134,123,159,240,624,273,67,366,4,18,0,0
